internal_location,md5,md5short,ksize,moltype,num,scaled,n_hashes,with_abundance,name,filename
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135178.sig,3719be763e0982c0aa06d2fa307b726f,3719be76,21,DNA,0,1000,1090604,True,ERR1135178,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135178.sig,5875b94b1bfe6eca3d79a19ffda63661,5875b94b,31,DNA,0,1000,1081657,True,ERR1135178,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135178.sig,391107511ec3cbe0a6d1778edc35bfc9,39110751,51,DNA,0,1000,924929,True,ERR1135178,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135179.sig,746581b49d47f3b53c6d29ad8760355a,746581b4,21,DNA,0,1000,1301499,True,ERR1135179,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135179.sig,373873ffafae1b443abfe4ec3fd28a53,373873ff,31,DNA,0,1000,1271651,True,ERR1135179,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135179.sig,68e3e6c23e0fecc42e6e2dea0bc13d3b,68e3e6c2,51,DNA,0,1000,1062380,True,ERR1135179,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135180.sig,0046b37b5ad4c822b1a655b68d0f7453,0046b37b,21,DNA,0,1000,1676308,True,ERR1135180,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135180.sig,917daeb215bdaea51ca4862b000b2e3a,917daeb2,31,DNA,0,1000,1647172,True,ERR1135180,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135180.sig,4356c8181d275b3fafe9191701c71c67,4356c818,51,DNA,0,1000,1370083,True,ERR1135180,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135181.sig,e67883b20edbc0adbccedcbab5cece48,e67883b2,21,DNA,0,1000,1541916,True,ERR1135181,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135181.sig,50b417466aebf8e63b6f6f73b064016a,50b41746,31,DNA,0,1000,1507526,True,ERR1135181,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135181.sig,8b79cd9e1398f651c9b41b7e4cd30581,8b79cd9e,51,DNA,0,1000,1247478,True,ERR1135181,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135182.sig,dae41bf5a0d12f50617fc10dd0907a09,dae41bf5,21,DNA,0,1000,1461378,True,ERR1135182,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135182.sig,f2a0e9679717c886ba8ab9f4cf9e6167,f2a0e967,31,DNA,0,1000,1428297,True,ERR1135182,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135182.sig,83f3d5f84e7cdcef2da0765f31f8fa75,83f3d5f8,51,DNA,0,1000,1176746,True,ERR1135182,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135183.sig,27f092470fba583dde2f9c30db119235,27f09247,21,DNA,0,1000,1482437,True,ERR1135183,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135183.sig,d5e5465edd13efb5d72cb1202793ae25,d5e5465e,31,DNA,0,1000,1451392,True,ERR1135183,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135183.sig,d07291d6cc031329ed52ed1c534753ec,d07291d6,51,DNA,0,1000,1207949,True,ERR1135183,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135184.sig,177907b6804036c6ed203d000b563202,177907b6,21,DNA,0,1000,1360019,True,ERR1135184,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135184.sig,8590da718b1b58e1fa50e745418613da,8590da71,31,DNA,0,1000,1330899,True,ERR1135184,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135184.sig,3d72cb950c4a43408e83f24af4460e41,3d72cb95,51,DNA,0,1000,1116568,True,ERR1135184,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135185.sig,61f687b0bd97a899426a7313e3fae93f,61f687b0,21,DNA,0,1000,1177754,True,ERR1135185,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135185.sig,d49966234726cc147388eeeca09c2243,d4996623,31,DNA,0,1000,1162663,True,ERR1135185,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135185.sig,e5111cd2d0885e0b2fb1dd8e8e7ffdfe,e5111cd2,51,DNA,0,1000,995493,True,ERR1135185,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135186.sig,9f0a0d2d0e9f60ca36280b808503d940,9f0a0d2d,21,DNA,0,1000,668296,True,ERR1135186,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135186.sig,97e9b49c612fb7a4111278afa30ff2f8,97e9b49c,31,DNA,0,1000,673184,True,ERR1135186,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135186.sig,80d8da3d0223ba05d152c007c22475cd,80d8da3d,51,DNA,0,1000,601706,True,ERR1135186,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135187.sig,8e92214d731418280a6f1c0de08bfac2,8e92214d,21,DNA,0,1000,1301109,True,ERR1135187,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135187.sig,db44397345a9608d6ef502b27f2b66d2,db443973,31,DNA,0,1000,1287204,True,ERR1135187,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135187.sig,3194e3ef2a7ec0d82636e0e4461f5767,3194e3ef,51,DNA,0,1000,1108325,True,ERR1135187,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135188.sig,701418253cb2da3b35622d40a791edad,70141825,21,DNA,0,1000,1343246,True,ERR1135188,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135188.sig,06be6672890d6a886195c6485cebfc6e,06be6672,31,DNA,0,1000,1310937,True,ERR1135188,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135188.sig,1c8d2034439f38d48d1ccacdc37f6231,1c8d2034,51,DNA,0,1000,1093030,True,ERR1135188,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135189.sig,2531b07fcbb8f09c2a11132f677adff7,2531b07f,21,DNA,0,1000,1103872,True,ERR1135189,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135189.sig,79342d7eee2fcdd93e7a3589d657217a,79342d7e,31,DNA,0,1000,1077388,True,ERR1135189,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135189.sig,7d1e2959dd88cfa8844893896da5b15e,7d1e2959,51,DNA,0,1000,901143,True,ERR1135189,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135190.sig,5141e791f5c1cc1f1fe743db1db240d1,5141e791,21,DNA,0,1000,1169120,True,ERR1135190,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135190.sig,9465c1fd3708699a710405b9218e49be,9465c1fd,31,DNA,0,1000,1144996,True,ERR1135190,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135190.sig,73ba37c9a9396ad6a3e1c10fe9825918,73ba37c9,51,DNA,0,1000,972951,True,ERR1135190,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135191.sig,3e4b3fd35db2216325d37445ec061011,3e4b3fd3,21,DNA,0,1000,858319,True,ERR1135191,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135191.sig,1dfa504bd36ac104ecc1bbd6ad472484,1dfa504b,31,DNA,0,1000,831270,True,ERR1135191,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135191.sig,ef42842ad32f3d3c819ab5660a736b50,ef42842a,51,DNA,0,1000,699165,True,ERR1135191,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135192.sig,cf00e4e35d10aa7c999f6b5f7b5d1092,cf00e4e3,21,DNA,0,1000,1231195,True,ERR1135192,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135192.sig,896858dda1943e54db94d20d517e67c0,896858dd,31,DNA,0,1000,1200915,True,ERR1135192,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135192.sig,4d650896a706178f3e674426ceb778f4,4d650896,51,DNA,0,1000,1010027,True,ERR1135192,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135193.sig,3011adfabe9dea633d7d4498382f41fa,3011adfa,21,DNA,0,1000,1208879,True,ERR1135193,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135193.sig,a75dd25975f9951779b9da32fd35d867,a75dd259,31,DNA,0,1000,1191231,True,ERR1135193,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135193.sig,c990831018bd1279d7b9991ebc538b6a,c9908310,51,DNA,0,1000,1029866,True,ERR1135193,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135194.sig,6196c14174002ec09c75fecfc5dc1e45,6196c141,21,DNA,0,1000,968322,True,ERR1135194,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135194.sig,aa0b27a172c1dfacc8b5fd0a06807d86,aa0b27a1,31,DNA,0,1000,939486,True,ERR1135194,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135194.sig,d8d8ce2a1fed18480fdaf94217d21671,d8d8ce2a,51,DNA,0,1000,776447,True,ERR1135194,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135195.sig,92d3feed888068a180fd4552ba87e845,92d3feed,21,DNA,0,1000,1227129,True,ERR1135195,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135195.sig,3d5b420b4717d2372b57e637adbb40e6,3d5b420b,31,DNA,0,1000,1189714,True,ERR1135195,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135195.sig,2e5a26322a353e4ee10e5be4e84db88b,2e5a2632,51,DNA,0,1000,982963,True,ERR1135195,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135196.sig,4c7d2179a105454e67535c80538264b9,4c7d2179,21,DNA,0,1000,894333,True,ERR1135196,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135196.sig,bb1fb4b4707f22239c0c6a26c24f2859,bb1fb4b4,31,DNA,0,1000,870717,True,ERR1135196,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135196.sig,42ed59580c4abcf0648dd1b5740a0089,42ed5958,51,DNA,0,1000,734878,True,ERR1135196,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135197.sig,d08da028a162ea797a3c20815ffa555f,d08da028,21,DNA,0,1000,1002726,True,ERR1135197,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135197.sig,ea1dcfcc01705b2da3793e3c2a882d2a,ea1dcfcc,31,DNA,0,1000,978713,True,ERR1135197,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135197.sig,057ef4db029e43dcd3316a76fcd576c4,057ef4db,51,DNA,0,1000,825776,True,ERR1135197,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135198.sig,a0c7c8086250d2c86b05ff7e865a4a81,a0c7c808,21,DNA,0,1000,1046076,True,ERR1135198,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135198.sig,b83af0c1fbe15727e02b17c9d6eadf96,b83af0c1,31,DNA,0,1000,1013581,True,ERR1135198,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135198.sig,5af2a87bb60cdc9c3e26207afec84ade,5af2a87b,51,DNA,0,1000,846170,True,ERR1135198,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135199.sig,7500bc1e283c64e8c74b6402dfe0f502,7500bc1e,21,DNA,0,1000,855817,True,ERR1135199,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135199.sig,46934f010dc3bea197e72004bb885070,46934f01,31,DNA,0,1000,827360,True,ERR1135199,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135199.sig,dd3f6960383c0d4d32ca466228d4c2f7,dd3f6960,51,DNA,0,1000,685737,True,ERR1135199,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135200.sig,b6b1c8b4fafdc3f63656ddfbcf6e3192,b6b1c8b4,21,DNA,0,1000,1183470,True,ERR1135200,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135200.sig,4e6584f6a4a603f36404bf7d4174797c,4e6584f6,31,DNA,0,1000,1157676,True,ERR1135200,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135200.sig,3b29d943d5cc0e1042193398524398ea,3b29d943,51,DNA,0,1000,984465,True,ERR1135200,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135201.sig,eecf5e59a104249792d4fe1aa5d71b77,eecf5e59,21,DNA,0,1000,1458486,True,ERR1135201,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135201.sig,a7c97bb9ff20ae98d959a6d6506ebc5a,a7c97bb9,31,DNA,0,1000,1432963,True,ERR1135201,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135201.sig,9e8a111ffd4e575418e0f387d9ebd381,9e8a111f,51,DNA,0,1000,1218091,True,ERR1135201,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135202.sig,c824d874ab6c111c6f38e1f3e79bddff,c824d874,21,DNA,0,1000,1072927,True,ERR1135202,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135202.sig,2af3d7d43d78a9a8f879f7e5782e0485,2af3d7d4,31,DNA,0,1000,1042728,True,ERR1135202,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135202.sig,0feac024a0ff5326ab4a8cf568f4e725,0feac024,51,DNA,0,1000,870673,True,ERR1135202,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135203.sig,1e029f9428493e5b28f7656d656ea209,1e029f94,21,DNA,0,1000,1054855,True,ERR1135203,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135203.sig,a48b8130e225b151f8228bb6a7143d5d,a48b8130,31,DNA,0,1000,1015805,True,ERR1135203,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135203.sig,37611293e946979dc3472e227cb4c869,37611293,51,DNA,0,1000,836400,True,ERR1135203,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135204.sig,f1ccc8b696686e58b095e88f06f68db6,f1ccc8b6,21,DNA,0,1000,995113,True,ERR1135204,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135204.sig,982bbef120d2bcfbc4a17787fac1a04c,982bbef1,31,DNA,0,1000,964909,True,ERR1135204,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135204.sig,52d29ab836957d5493c725256e4cfe15,52d29ab8,51,DNA,0,1000,799804,True,ERR1135204,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135205.sig,91357fdfb75cc26409df792a16d3a8ae,91357fdf,21,DNA,0,1000,817119,True,ERR1135205,-
/group/ctbrowngrp5/wort/wort-sra/sigs/ERR1135205.sig,66b2c709c0049076b81fc95a11d5a6a6,66b2c709,31,DNA,0,1000,802100,True,ERR1135205,-
