run_accession	study_accession	secondary_study_accession	sample_accession	experiment_accession	submission_accession	tax_id	scientific_name	library_name	library_strategy	library_selection	read_count	study_title	study_alias	experiment_alias	run_alias	fastq_md5	fastq_ftp	submitted_bytes	submitted_ftp	broker_name	sample_title
ERR15909855	PRJEB88111	ERP171251	SAMEA120577475	ERX15305629	ERA35258655	9823	Sus scrofa		WGS	RANDOM	44404	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2025_1036890_101_MG_LVK_76_SE	webin-reads-DTU_2025_1036890_101_MG_LVK_76_SE	7316c3227f49c8cdacbe32cd99a9761b	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/055/ERR15909855/ERR15909855.fastq.gz	85392745	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15909855/DTU_2025_1036890_101_MG_LVK_76_SE.fq.gz	DTU-GE	DTU_2025_1036890_101_MG_LVK_76_SE
ERR15909858	PRJEB88111	ERP171251	SAMEA120577463	ERX15305632	ERA35258658	9823	Sus scrofa		WGS	RANDOM	149891	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2025_1036900_101_MG_LVK_102_SE	webin-reads-DTU_2025_1036900_101_MG_LVK_102_SE	896918508ce8e5f55daf367271568678	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/058/ERR15909858/ERR15909858.fastq.gz	132755280	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15909858/DTU_2025_1036900_101_MG_LVK_102_SE.fq.gz	DTU-GE	DTU_2025_1036900_101_MG_LVK_102_SE
ERR15909874	PRJEB88111	ERP171251	SAMEA120577467	ERX15305648	ERA35258668	9823	Sus scrofa		WGS	RANDOM	104799	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2025_1036899_101_MG_LVK_101_SE	webin-reads-DTU_2025_1036899_101_MG_LVK_101_SE	0dc094cc0f003f461cc622d322bc8cd8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/074/ERR15909874/ERR15909874.fastq.gz	197537363	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15909874/DTU_2025_1036899_101_MG_LVK_101_SE.fq.gz	DTU-GE	DTU_2025_1036899_101_MG_LVK_101_SE
ERR15909884	PRJEB88111	ERP171251	SAMEA120577465	ERX15305658	ERA35258679	9823	Sus scrofa		WGS	RANDOM	74218	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2025_1036893_101_MG_LVK_82_SE	webin-reads-DTU_2025_1036893_101_MG_LVK_82_SE	10a096647b1a83c1160772100e6df77e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/084/ERR15909884/ERR15909884.fastq.gz	134810182	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15909884/DTU_2025_1036893_101_MG_LVK_82_SE.fq.gz	DTU-GE	DTU_2025_1036893_101_MG_LVK_82_SE
ERR15909885	PRJEB88111	ERP171251	SAMEA120577458	ERX15305659	ERA35258681	9823	Sus scrofa		WGS	RANDOM	63172	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2025_1036892_101_MG_LVK_80_SE	webin-reads-DTU_2025_1036892_101_MG_LVK_80_SE	d149e228b85e36e3ea9fe6aa2023cf06	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/085/ERR15909885/ERR15909885.fastq.gz	134085368	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15909885/DTU_2025_1036892_101_MG_LVK_80_SE.fq.gz	DTU-GE	DTU_2025_1036892_101_MG_LVK_80_SE
ERR15909890	PRJEB88111	ERP171251	SAMEA120577470	ERX15305664	ERA35258686	9823	Sus scrofa		WGS	RANDOM	53621	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2025_1036891_101_MG_LVK_79_SE	webin-reads-DTU_2025_1036891_101_MG_LVK_79_SE	ca6bf1b5e4cc6c8ec22cf34984c7a66e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/090/ERR15909890/ERR15909890.fastq.gz	102717193	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15909890/DTU_2025_1036891_101_MG_LVK_79_SE.fq.gz	DTU-GE	DTU_2025_1036891_101_MG_LVK_79_SE
ERR15909891	PRJEB88111	ERP171251	SAMEA120577461	ERX15305665	ERA35258687	9823	Sus scrofa		WGS	RANDOM	222540	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2025_1037644_101_MG_LVK_18_SE	webin-reads-DTU_2025_1037644_101_MG_LVK_18_SE	fee471d195ab168d15dbc3e0f0a18601	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/091/ERR15909891/ERR15909891.fastq.gz	147375215	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15909891/DTU_2025_1037644_101_MG_LVK_18_SE.fq.gz	DTU-GE	DTU_2025_1037644_101_MG_LVK_18_SE
ERR15934506	PRJEB88111	ERP171251	SAMEA120577430	ERX15330170	ERA35259834	9823	Sus scrofa		WGS	RANDOM	8137381	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2024_1036889_100_MG_LVK_74_SE	webin-reads-DTU_2024_1036889_100_MG_LVK_74_SE	741193a516c968a7cbe146a045d2f440	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/006/ERR15934506/ERR15934506.fastq.gz	22065696164	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15934506/DTU_2024_1036889_100_MG_LVK_74_SE.fq.gz	DTU-GE	DTU_2024_1036889_100_MG_LVK_74_SE
ERR15934885	PRJEB88111	ERP171251	SAMEA120577436	ERX15330513	ERA35260361	9823	Sus scrofa		WGS	RANDOM	6995586	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2024_1036891_100_MG_LVK_79_SE	webin-reads-DTU_2024_1036891_100_MG_LVK_79_SE	f74043df29eccfb7aac7b6cfcfa5233e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/085/ERR15934885/ERR15934885.fastq.gz	24219513698	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15934885/DTU_2024_1036891_100_MG_LVK_79_SE.fq.gz	DTU-GE	DTU_2024_1036891_100_MG_LVK_79_SE
ERR15934940	PRJEB88111	ERP171251	SAMEA120577434	ERX15330568	ERA35260425	9823	Sus scrofa		WGS	RANDOM	9702739	Metagenomics for detection of bacterial pathogens, antimicrobial resistance and virulence genes in diarrhoeal pigs	cfc855b7-37f7-4bf6-959b-2a2aafd1689a	webin-reads-DTU_2024_1036888_100_MG_LVK_61_SE	webin-reads-DTU_2024_1036888_100_MG_LVK_61_SE	009f1a02482ff1c9e2688139d1b7b3f6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR159/040/ERR15934940/ERR15934940.fastq.gz	30190583610	ftp.sra.ebi.ac.uk/vol1/run/ERR159/ERR15934940/DTU_2024_1036888_100_MG_LVK_61_SE.fq.gz	DTU-GE	DTU_2024_1036888_100_MG_LVK_61_SE
