name,n_hashes
SRR29543789,1639814
SRR22213765,6338836
SRR24963189,1772860
SRR28023690,1920162
SRR7939950,3538980
ERR4878526,1553409
ERR10472438,5371987
ERR12418703,1286971
ERR14986620,1369627
ERR12814437,1709916
SRR12072304,3121635
SRR11235433,1779209
DRR438457,2171384
SRR14844111,10842023
SRR16817060,8290608
SRR5915685,1057693
SRR10873857,8002396
SRR28022580,3177607
SRR17317275,1088872
SRR7212636,1258136
SRR2835677,2645775
SRR14518730,3197425
SRR32767765,3859601
SRR32618892,1009640
SRR7734413,2136121
SRR15687574,32222427
SRR20079027,3675329
SRR28810126,2150975
SRR13680644,1269848
ERR10493306,3855269
ERR12076094,6141840
SRR14411242,1187852
SRR15171779,3265950
SRR14301304,4148311
SRR14712118,4393363
SRR1022351,1707292
SRR14560479,2363109
SRR16842399,1526523
ERR10921562,1621656
ERR13656240,2438671
SRR28012003,3948988
SRR22277756,7279881
SRR15377965,8156810
SRR28154268,1775852
ERR14155732,2810387
ERR3627091,8597625
SRR14076495,1171322
SRR8165485,3486002
SRR25542728,1918295
SRR30995261,2106695
SRR7004343,10183896
SRR33317602,4631831
SRR29257499,7611098
SRR5872729,2522946
SRR30884396,2397971
SRR6227272,1346766
SRR28059790,2720509
SRR28043026,3027331
SRR5002327,1700293
SRR12172648,20667747
SRR21919799,1664862
SRR30649436,2518631
SRR28913357,2200197
SRR5580272,2209195
ERR2366724,1279412
SRR28257213,7533732
SRR7734414,1922208
SRR10241529,1057961
SRR22141089,2696554
ERR10900330,1509385
SRR13150733,1017542
SRR8416120,2249795
SRR32214305,1330513
SRR9006512,1022330
SRR29530267,7798683
ERR15156971,1424615
SRR22000203,7459721
SRR27336639,4960829
SRR17659553,3849932
ERR11535077,2884933
ERR4303217,1684735
SRR22411284,3342247
SRR28059649,2540656
SRR25034889,1391497
ERR2373093,1348569
SRR7522659,1595571
SRR3992255,1223784
SRR15803480,1640251
SRR18576648,1456601
SRR26046790,1327641
SRR3501885,3689679
ERR4398784,1269279
SRR29351018,7667132
SRR14597277,1686729
SRR7828856,1117358
ERR4194652,2554371
ERR5954430,2493639
ERR10163833,1410490
SRR30300858,5856797
SRR34772395,4228763
SRR29131209,2525736
SRR29185106,1817551
SRR33243815,3162836
ERR12682569,1012489
ERR3393514,2550695
ERR14652017,1013037
ERR1883936,1236210
SRR27973894,2869794
ERR9924863,5588630
SRR27538842,1398419
SRR25399978,2501570
ERR1039457,10616276
SRR14874798,1071670
SRR25018309,4716340
ERR6929714,3021184
SRR2594389,2000860
SRR28062362,2214185
ERR5766172,2460408
SRR17299244,1157429
ERR11819969,1356886
SRR8394211,4273179
SRR14932628,4192304
DRR438458,2018224
SRR28260015,2136498
SRR22098123,25821908
ERR5214464,2955443
SRR16183338,1934754
DRR576539,1738370
ERR9661569,1572860
SRR13759290,1061842
SRR12529311,4786938
SRR29879753,2552036
SRR13588882,11518326
ERR8264019,1014879
SRR5275929,1216844
SRR25895563,1535752
ERR14887322,1103829
SRR14127317,1293575
SRR32856602,4621511
SRR24970670,1045003
SRR21205432,1052111
SRR26458664,2045407
SRR5923201,2742835
SRR32828547,1303870
ERR4682798,4710773
SRR22022324,1491742
DRR551250,1158541
ERR12541887,1176491
ERR6355367,1347948
SRR12274737,2217481
SRR5271163,7421224
ERR3211678,1375297
SRR31166129,1930608
SRR24962477,1267113
SRR33230324,8217578
SRR20002449,1221714
SRR17256075,4332889
SRR23814901,6181762
SRR10113588,1560975
SRR25132614,2246101
SRR26820205,2207030
SRR29517037,1800639
ERR4192535,1773881
SRR24224811,14741308
SRR28705594,1419877
SRR25051002,1070614
SRR23702518,1638879
SRR5976183,1986341
SRR30410463,3997852
SRR24164691,1483367
ERR10921200,1696420
SRR25547094,3455841
SRR28401881,13942238
SRR16642476,2308035
SRR9276193,1302654
ERR10228873,1950334
SRR31127263,1569376
ERR671910,7545272
SRR29054606,5390314
SRR14330064,3804250
SRR17827638,4865518
SRR21824634,1536622
ERR14120807,2664673
SRR5918994,13065163
SRR3963599,1784046
SRR15425353,2503590
ERR6170268,1368729
SRR22811437,1788393
ERR315809,8961292
ERR14120381,1560144
SRR24884202,1004279
SRR33366979,23315448
SRR7907979,4961086
ERR10791236,1903158
SRR13838931,1640423
ERR10664130,1234153
SRR5720300,1490532
SRR28002649,2059276
SRR27539038,1228759
SRR25436020,1125867
SRR26831621,2235178
SRR17598635,7423109
SRR34942141,1949947
SRR28003365,1044314
ERR13925482,2227821
SRR29351017,8268395
SRR13249353,6347618
SRR25939040,2473210
SRR7755116,1379204
SRR1611991,1412692
SRR11172600,6606820
SRR33509587,1351962
SRR33471267,5553093
ERR1224355,2577578
SRR30711646,5840727
SRR5460435,5261863
SRR17715791,13296002
ERR2683255,4818613
SRR24224816,10110038
ERR11452352,16694614
SRR13224101,3123444
SRR32520794,2809698
SRR24529329,5844054
SRR18699904,4153233
SRR30868089,1283098
SRR11128412,3619712
SRR10598175,1913022
SRR24791579,7208270
SRR18214689,2278049
ERR4804001,1096109
SRR8651100,4643491
SRR29445154,2637800
SRR28061569,1297617
SRR29646624,1574766
ERR11029126,1866596
SRR29913384,7375907
ERR15142328,3924643
SRR28042392,2247622
SRR10983072,1217462
SRR7777417,1390840
SRR14117422,6289743
SRR17738094,1581906
SRR26387400,3860533
ERR6465650,1055142
SRR21663062,2964656
SRR32277375,4494453
ERR14217404,1017174
SRR14729849,1135965
SRR22091203,3869127
ERR10448912,3801501
SRR10912878,1311262
ERR550532,8409992
SRR21095992,1311284
SRR25429144,3253666
SRR22600571,1288250
SRR13169041,2643228
SRR28037997,5199893
ERR3414590,1055591
SRR5902474,3131896
SRR11935579,1030966
SRR34963802,2779460
SRR25158222,15338044
SRR9003188,21595797
SRR24098281,1898840
SRR28023675,2495847
SRR34888698,1236816
SRR32406818,1370819
SRR19631133,2025999
SRR14509070,2049459
SRR3139162,4073951
SRR13826084,1000625
SRR15661543,1192612
ERR11836019,1909561
SRR17734791,1766543
SRR17241503,2572416
SRR10692402,1729189
SRR14560476,2080500
SRR3724194,4063120
SRR19792989,3000700
SRR10914829,2722034
ERR5729303,1713738
SRR24966150,2381439
SRR27973681,2479805
SRR11973648,1203022
ERR972346,1543228
SRR28305675,2544058
SRR31126355,3421255
SRR25584938,12517344
SRR25047199,1267908
SRR13502548,1359248
SRR33479969,1068275
SRR28455212,1260839
SRR28435158,6342622
SRR21969392,1339351
SRR21764049,2631112
SRR20680178,1037149
SRR25194340,8982949
ERR10378599,1050002
SRR24239788,3987724
SRR28037998,5152410
ERR11591995,1034554
ERR2486618,5245220
SRR5208451,1280976
SRR24955710,2132136
SRR21681497,1380587
SRR22077185,1586743
SRR25608340,1901275
SRR25662435,1033158
